,Small Component,Big Component,Small2 Component,Big2 Component,Score
324,consensus independent component 92_s2,consensus independent component 136_big,consensus independent component 56_s1,consensus independent component 136_big,-0.24216810503413844
145,consensus independent component 185_s2,consensus independent component 68_big,consensus independent component 105_s1,consensus independent component 43_big,-0.2458564241976025
170,consensus independent component 22_s2,consensus independent component 4_big,consensus independent component 24_s1,consensus independent component 4_big,-0.247954165692732
128,consensus independent component 170_s2,consensus independent component 53_big,consensus independent component 139_s1,consensus independent component 53_big,-0.2496695423507559
241,consensus independent component 55_s1,consensus independent component 8_big,consensus independent component 24_s2,consensus independent component 8_big,-0.2590803722455526
58,consensus independent component 127_s1,consensus independent component 129_big,consensus independent component 188_s2,consensus independent component 129_big,-0.2620600297317368
109,consensus independent component 155_s2,consensus independent component 82_big,consensus independent component 94_s1,consensus independent component 82_big,-0.26338451561681125
310,consensus independent component 86_s2,consensus independent component 54_big,consensus independent component 10_s1,consensus independent component 54_big,-0.2638791494273637
89,consensus independent component 140_s2,consensus independent component 45_big,consensus independent component 57_s1,consensus independent component 45_big,-0.26534569186101675
272,consensus independent component 69_s2,consensus independent component 15_big,consensus independent component 40_s1,consensus independent component 15_big,-0.265600456312742
323,consensus independent component 92_s1,consensus independent component 140_big,consensus independent component 124_s2,consensus independent component 123_big,-0.26920577797160816
127,consensus independent component 16_s2,consensus independent component 31_big,consensus independent component 31_s1,consensus independent component 31_big,-0.2712828130330158
335,consensus independent component 98_s1,consensus independent component 72_big,consensus independent component 57_s2,consensus independent component 72_big,-0.2712885571227729
168,consensus independent component 21_s2,consensus independent component 20_big,consensus independent component 9_s1,consensus independent component 20_big,-0.2715156046737621
91,consensus independent component 141_s2,consensus independent component 104_big,consensus independent component 107_s1,consensus independent component 18_big,-0.2729026040090438
99,consensus independent component 147_s2,consensus independent component 41_big,consensus independent component 103_s1,consensus independent component 41_big,-0.27498359086441454
162,consensus independent component 19_s2,consensus independent component 1_big,consensus independent component 16_s1,consensus independent component 1_big,-0.2891739548128396
123,consensus independent component 167_s2,consensus independent component 139_big,consensus independent component 93_s1,consensus independent component 139_big,-0.2902975504797287
