,Small Component,Big Component,Small2 Component,Big2 Component,Score
3494,consensus independent component 9_Normal,consensus independent component 187_big,consensus independent component 74_Breast cancer,consensus independent component 187_big,0.04520149875365698
2893,consensus independent component 68_Sarcoma,consensus independent component 2781_big,consensus independent component 37_Brain cancer,consensus independent component 2848_big,0.04512575499422569
125,consensus independent component 108_Colorectal cancer,consensus independent component 1996_big,consensus independent component 14_Lung cancer,consensus independent component 1996_big,0.04480476205213335
278,consensus independent component 118_Colorectal cancer,consensus independent component 2789_big,consensus independent component 89_Lung cancer,consensus independent component 2789_big,0.04474831374878302
3374,consensus independent component 93_HCC,consensus independent component 842_big,consensus independent component 8_Multiple myeloma,consensus independent component 842_big,0.04473981939950111
3236,consensus independent component 86_Brain cancer,consensus independent component 257_big,consensus independent component 82_Multiple myeloma,consensus independent component 1480_big,0.04459780166268201
16,consensus independent component 101_Adrenal cancer,consensus independent component 251_big,consensus independent component 37_Renal cancer,consensus independent component 1389_big,0.04451601028065787
2638,consensus independent component 57_Gastric cancer,consensus independent component 373_big,consensus independent component 30_Lung cancer,consensus independent component 373_big,0.04450051550969436
1452,consensus independent component 23_Melanoma,consensus independent component 318_big,consensus independent component 42_Brain cancer,consensus independent component 318_big,0.04446733787611784
35,consensus independent component 102_Colorectal cancer,consensus independent component 168_big,consensus independent component 107_Gastric cancer,consensus independent component 168_big,0.04408561234006214
2318,consensus independent component 46_Melanoma,consensus independent component 40_big,consensus independent component 9_Multiple myeloma,consensus independent component 40_big,0.04392714598287634
3359,consensus independent component 92_HNSCC,consensus independent component 2214_big,consensus independent component 8_Myelodysplastic syndrome,consensus independent component 2214_big,0.043538874858432774
2913,consensus independent component 6_Brain cancer,consensus independent component 240_big,consensus independent component 19_Leukemia,consensus independent component 240_big,0.04330412053337329
209,consensus independent component 112_Sarcoma,consensus independent component 1480_big,consensus independent component 86_Brain cancer,consensus independent component 257_big,0.0430531656471006
123,consensus independent component 108_Brain cancer,consensus independent component 3082_big,consensus independent component 12_Normal,consensus independent component 3082_big,0.04295050412520318
3240,consensus independent component 86_HCC,consensus independent component 945_big,consensus independent component 1_Renal cancer,consensus independent component 945_big,0.0425284346475413
1229,consensus independent component 199_Breast cancer,consensus independent component 1521_big,consensus independent component 42_Normal,consensus independent component 1521_big,0.04248612717935196
3409,consensus independent component 95_Lung cancer,consensus independent component 676_big,consensus independent component 9_Breast cancer,consensus independent component 162_big,0.04221833151996035
2376,consensus independent component 48_Myelodysplastic syndrome,consensus independent component 2939_big,consensus independent component 159_Lymphoma,consensus independent component 3587_big,0.04204066212322613
23,consensus independent component 101_Leukemia,consensus independent component 2993_big,consensus independent component 8_Myelodysplastic syndrome,consensus independent component 2214_big,0.04187848753565537
2643,consensus independent component 57_Lymphoma,consensus independent component 3043_big,consensus independent component 177_Colorectal cancer,consensus independent component 3043_big,0.041721038089025386
3282,consensus independent component 88_Ovarian cancer,consensus independent component 475_big,consensus independent component 29_Brain cancer,consensus independent component 337_big,0.041226147556656934
2079,consensus independent component 38_Normal,consensus independent component 1522_big,consensus independent component 130_Lung cancer,consensus independent component 1522_big,0.04120295485882053
3402,consensus independent component 95_Brain cancer,consensus independent component 497_big,consensus independent component 50_Sarcoma,consensus independent component 2366_big,0.04105230348924452
2342,consensus independent component 47_HNSCC,consensus independent component 1173_big,consensus independent component 256_Breast cancer,consensus independent component 1173_big,0.040288791829795015
3015,consensus independent component 74_Normal,consensus independent component 462_big,consensus independent component 184_Breast cancer,consensus independent component 462_big,0.04008206098057787
2289,consensus independent component 45_Lymphoma,consensus independent component 1955_big,consensus independent component 47_Leukemia,consensus independent component 1955_big,0.03936464257482197
771,consensus independent component 151_Lung cancer,consensus independent component 2898_big,consensus independent component 169_Breast cancer,consensus independent component 2898_big,0.0390140169508022
211,consensus independent component 113_Brain cancer,consensus independent component 433_big,consensus independent component 30_Multiple myeloma,consensus independent component 433_big,0.03868995898372379
374,consensus independent component 124_Colorectal cancer,consensus independent component 1394_big,consensus independent component 31_Brain cancer,consensus independent component 1167_big,0.038331705756734835
2100,consensus independent component 39_HNSCC,consensus independent component 821_big,consensus independent component 33_Melanoma,consensus independent component 821_big,0.03817697153718652
740,consensus independent component 14_HCC,consensus independent component 2208_big,consensus independent component 7_Brain cancer,consensus independent component 2208_big,0.03760483192424874
985,consensus independent component 16_Ovarian cancer,consensus independent component 457_big,consensus independent component 43_Lymphoma,consensus independent component 457_big,0.03714488362428647
1505,consensus independent component 24_Prostate cancer,consensus independent component 837_big,consensus independent component 93_HNSCC,consensus independent component 1793_big,0.036800487726902475
1752,consensus independent component 2_Gastric cancer,consensus independent component 1452_big,consensus independent component 95_HCC,consensus independent component 3628_big,0.036309574184402005
3094,consensus independent component 79_Breast cancer,consensus independent component 3082_big,consensus independent component 108_Brain cancer,consensus independent component 3082_big,0.035979692283573006
2380,consensus independent component 48_Renal cancer,consensus independent component 3369_big,consensus independent component 77_Lung cancer,consensus independent component 2766_big,0.035573692850416616
1426,consensus independent component 234_Sarcoma,consensus independent component 2040_big,consensus independent component 131_Ovarian cancer,consensus independent component 2113_big,0.03550621334883973
3454,consensus independent component 98_HCC,consensus independent component 45_big,consensus independent component 88_Renal cancer,consensus independent component 2372_big,0.03483352268342621
1405,consensus independent component 22_Multiple myeloma,consensus independent component 240_big,consensus independent component 27_Lymphoma,consensus independent component 240_big,0.03459839231346984
1395,consensus independent component 22_Brain cancer,consensus independent component 2856_big,consensus independent component 47_Melanoma,consensus independent component 2856_big,0.03454669561773166
3395,consensus independent component 94_Melanoma,consensus independent component 373_big,consensus independent component 103_Brain cancer,consensus independent component 373_big,0.03433338071114783
1583,consensus independent component 269_Breast cancer,consensus independent component 2789_big,consensus independent component 47_Sarcoma,consensus independent component 2789_big,0.03404229643785861
1564,consensus independent component 262_Sarcoma,consensus independent component 1148_big,consensus independent component 87_Colorectal cancer,consensus independent component 789_big,0.03400108651293343
3224,consensus independent component 85_HNSCC,consensus independent component 1751_big,consensus independent component 116_Melanoma,consensus independent component 1751_big,0.03371845614030139
2257,consensus independent component 44_HCC,consensus independent component 318_big,consensus independent component 23_Melanoma,consensus independent component 318_big,0.03365501913248342
3152,consensus independent component 81_HNSCC,consensus independent component 2208_big,consensus independent component 7_Brain cancer,consensus independent component 2208_big,0.033534717098729905
171,consensus independent component 110_Colorectal cancer,consensus independent component 55_big,consensus independent component 190_Breast cancer,consensus independent component 373_big,0.033493610547077446
2288,consensus independent component 45_Lung cancer,consensus independent component 173_big,consensus independent component 46_Lymphoma,consensus independent component 173_big,0.03315966150525684
629,consensus independent component 141_Colorectal cancer,consensus independent component 1712_big,consensus independent component 35_Leukemia,consensus independent component 1712_big,0.03295836943513386
707,consensus independent component 147_Melanoma,consensus independent component 79_big,consensus independent component 59_HNSCC,consensus independent component 2869_big,0.03253949505268694
3113,consensus independent component 7_Colorectal cancer,consensus independent component 112_big,consensus independent component 217_Breast cancer,consensus independent component 112_big,0.03242760771496622
1879,consensus independent component 325_Sarcoma,consensus independent component 79_big,consensus independent component 173_Lung cancer,consensus independent component 79_big,0.03233833525693719
1102,consensus independent component 181_Sarcoma,consensus independent component 3647_big,consensus independent component 19_Lymphoma,consensus independent component 3647_big,0.03229807235712334
158,consensus independent component 10_Lung cancer,consensus independent component 158_big,consensus independent component 171_Colorectal cancer,consensus independent component 158_big,0.031577655863563314
1106,consensus independent component 182_HCC,consensus independent component 808_big,consensus independent component 50_Renal cancer,consensus independent component 808_big,0.03155616544115808
1163,consensus independent component 189_Lung cancer,consensus independent component 2835_big,consensus independent component 136_Colorectal cancer,consensus independent component 1176_big,0.030814737109214507
1859,consensus independent component 31_Prostate cancer,consensus independent component 187_big,consensus independent component 27_Melanoma,consensus independent component 187_big,0.03049170166140941
108,consensus independent component 107_Adrenal cancer,consensus independent component 3585_big,consensus independent component 153_Ovarian cancer,consensus independent component 3441_big,0.030277886514110168
