,Small Component,Big Component,Small2 Component,Big2 Component,Score
794,consensus independent component 153_HNSCC,consensus independent component 1994_big,consensus independent component 87_Lung cancer,consensus independent component 1994_big,-0.036279894348692
2792,consensus independent component 63_HNSCC,consensus independent component 2372_big,consensus independent component 98_Colorectal cancer,consensus independent component 2372_big,-0.036307926430216186
524,consensus independent component 134_HCC,consensus independent component 3437_big,consensus independent component 84_Breast cancer,consensus independent component 3437_big,-0.03645887985363089
88,consensus independent component 105_Normal,consensus independent component 3506_big,consensus independent component 140_Brain cancer,consensus independent component 2400_big,-0.036514936555797795
602,consensus independent component 13_HCC,consensus independent component 2670_big,consensus independent component 17_Adrenal cancer,consensus independent component 701_big,-0.03654048194645233
3052,consensus independent component 76_Ovarian cancer,consensus independent component 60_big,consensus independent component 312_Breast cancer,consensus independent component 60_big,-0.03656985794534097
3032,consensus independent component 75_Myelodysplastic syndrome,consensus independent component 194_big,consensus independent component 101_Adrenal cancer,consensus independent component 251_big,-0.03661830480768596
2885,consensus independent component 68_Lymphoma,consensus independent component 112_big,consensus independent component 41_Normal,consensus independent component 112_big,-0.0366442897157766
2891,consensus independent component 68_Prostate cancer,consensus independent component 2456_big,consensus independent component 67_Colorectal cancer,consensus independent component 821_big,-0.03668691875443131
693,consensus independent component 146_Lung cancer,consensus independent component 40_big,consensus independent component 14_Breast cancer,consensus independent component 40_big,-0.03680350132015875
1922,consensus independent component 338_Breast cancer,consensus independent component 3205_big,consensus independent component 84_Lung cancer,consensus independent component 810_big,-0.036806618320580686
358,consensus independent component 122_Sarcoma,consensus independent component 947_big,consensus independent component 139_Lung cancer,consensus independent component 947_big,-0.03685492529247053
2796,consensus independent component 63_Melanoma,consensus independent component 2613_big,consensus independent component 142_Brain cancer,consensus independent component 2400_big,-0.03699891863809593
2111,consensus independent component 39_Sarcoma,consensus independent component 11_big,consensus independent component 43_Adrenal cancer,consensus independent component 3233_big,-0.037024402027949654
2760,consensus independent component 61_Melanoma,consensus independent component 3014_big,consensus independent component 12_Lung cancer,consensus independent component 298_big,-0.037208293139111226
3178,consensus independent component 82_Ovarian cancer,consensus independent component 361_big,consensus independent component 6_Colorectal cancer,consensus independent component 361_big,-0.037271952577799916
563,consensus independent component 137_HCC,consensus independent component 745_big,consensus independent component 175_Colorectal cancer,consensus independent component 160_big,-0.03727698897978787
2105,consensus independent component 39_Multiple myeloma,consensus independent component 2208_big,consensus independent component 116_Lung cancer,consensus independent component 2208_big,-0.03734198920993509
1812,consensus independent component 30_Renal cancer,consensus independent component 469_big,consensus independent component 78_Brain cancer,consensus independent component 469_big,-0.03764845864083327
3302,consensus independent component 89_Sarcoma,consensus independent component 3610_big,consensus independent component 179_Normal,consensus independent component 3610_big,-0.03765835648300165
1940,consensus independent component 33_Ovarian cancer,consensus independent component 131_big,consensus independent component 44_Lung cancer,consensus independent component 131_big,-0.037723877876561174
1250,consensus independent component 1_Adrenal cancer,consensus independent component 3405_big,consensus independent component 51_Colorectal cancer,consensus independent component 810_big,-0.03784655860064638
3228,consensus independent component 85_Melanoma,consensus independent component 752_big,consensus independent component 244_Breast cancer,consensus independent component 752_big,-0.03791618245818959
993,consensus independent component 170_Lung cancer,consensus independent component 2782_big,consensus independent component 5_Colorectal cancer,consensus independent component 2782_big,-0.03799939159440879
