,Small Component,Big Component,Small2 Component,Big2 Component,Score
221,consensus independent component 46_s1,consensus independent component 113_big,consensus independent component 80_s2,consensus independent component 113_big,-0.3772477323317
226,consensus independent component 48_s2,consensus independent component 15_big,consensus independent component 8_s1,consensus independent component 15_big,-0.3780972946967671
134,consensus independent component 176_s2,consensus independent component 784_big,consensus independent component 112_s1,consensus independent component 140_big,-0.3784671117080187
319,consensus independent component 90_s1,consensus independent component 136_big,consensus independent component 37_s2,consensus independent component 132_big,-0.381632122245187
185,consensus independent component 2_s1,consensus independent component 118_big,consensus independent component 36_s2,consensus independent component 118_big,-0.38197270799509736
329,consensus independent component 95_s1,consensus independent component 114_big,consensus independent component 138_s2,consensus independent component 114_big,-0.38282744928078494
119,consensus independent component 163_s2,consensus independent component 145_big,consensus independent component 92_s1,consensus independent component 116_big,-0.38391021134018255
223,consensus independent component 47_s1,consensus independent component 73_big,consensus independent component 122_s2,consensus independent component 73_big,-0.3842846154725534
300,consensus independent component 81_s2,consensus independent component 126_big,consensus independent component 109_s1,consensus independent component 126_big,-0.3852225012036749
323,consensus independent component 92_s1,consensus independent component 116_big,consensus independent component 124_s2,consensus independent component 116_big,-0.3857509102603939
95,consensus independent component 143_s2,consensus independent component 139_big,consensus independent component 43_s1,consensus independent component 83_big,-0.38680279541697077
175,consensus independent component 25_s1,consensus independent component 76_big,consensus independent component 133_s2,consensus independent component 76_big,-0.3901146319383034
159,consensus independent component 197_s2,consensus independent component 1500_big,consensus independent component 14_s1,consensus independent component 1779_big,-0.3902023656546826
6,consensus independent component 103_s1,consensus independent component 43_big,consensus independent component 51_s2,consensus independent component 43_big,-0.39627115139891267
181,consensus independent component 28_s1,consensus independent component 77_big,consensus independent component 2_s2,consensus independent component 77_big,-0.39908060031102965
100,consensus independent component 148_s2,consensus independent component 130_big,consensus independent component 101_s1,consensus independent component 130_big,-0.3992127813794183
117,consensus independent component 161_s2,consensus independent component 134_big,consensus independent component 31_s1,consensus independent component 32_big,-0.40129691655281396
308,consensus independent component 85_s2,consensus independent component 98_big,consensus independent component 121_s1,consensus independent component 98_big,-0.40360313784712876
171,consensus independent component 23_s1,consensus independent component 35_big,consensus independent component 62_s2,consensus independent component 35_big,-0.4037738655252626
70,consensus independent component 132_s1,consensus independent component 83_big,consensus independent component 197_s2,consensus independent component 1500_big,-0.4070048690845171
191,consensus independent component 32_s1,consensus independent component 89_big,consensus independent component 60_s2,consensus independent component 89_big,-0.40704952076636114
77,consensus independent component 135_s2,consensus independent component 59_big,consensus independent component 14_s1,consensus independent component 1779_big,-0.4157692421514587
144,consensus independent component 184_s2,consensus independent component 165_big,consensus independent component 25_s1,consensus independent component 76_big,-0.416608810866919
337,consensus independent component 99_s1,consensus independent component 139_big,consensus independent component 143_s2,consensus independent component 139_big,-0.4170250051478368
205,consensus independent component 39_s1,consensus independent component 44_big,consensus independent component 67_s2,consensus independent component 44_big,-0.41834245087223637
304,consensus independent component 83_s2,consensus independent component 26_big,consensus independent component 42_s1,consensus independent component 27_big,-0.41969371724092375
276,consensus independent component 70_s2,consensus independent component 66_big,consensus independent component 38_s1,consensus independent component 66_big,-0.4285993077181195
199,consensus independent component 36_s1,consensus independent component 8_big,consensus independent component 27_s2,consensus independent component 8_big,-0.42989334878504804
26,consensus independent component 112_s1,consensus independent component 140_big,consensus independent component 35_s2,consensus independent component 140_big,-0.43174191655256805
169,consensus independent component 22_s1,consensus independent component 17_big,consensus independent component 17_s2,consensus independent component 17_big,-0.4328763042857846
154,consensus independent component 192_s2,consensus independent component 707_big,consensus independent component 94_s1,consensus independent component 88_big,-0.43753972315684214
